city,media_home_price
akron,125000
albany,17200
allentown,17500
atlanta,19000
augusta,14700
austin,25100
bakersfield,19900
baltimore,23800
baton rouge,16600
birmingham,13100
boise  city,21500
boston,39800
bridgeport,36500
buffalo,12500
cape coral,20000
charleston,23800
charlotte,19800
chattanooga,13100
chicago,21800
cinncinnati,15000
cleveland,13500
colorado springs,26000
columbia,13300
columbus,17000
dallas,18200
dayton,11500
deltona,17000
denver,36000
des moines,17300
detroit,14500
durham,22000
fayetteville,16300
fresno,23300
grand rapids,15500
greensboro,11800
greenville,17000
harrisburg,16200
hartford,20100
honolulu,53000
houston,17000
jacksonville,17000
knoxville,14100
lakeland,14600
lancaster,18400
lansing,12800
las vegas,24000
lexington,16700
little rock,14000
los angeles,60500
louisville,16500
madison,24500
mcallen,11800
memphis,13700
miami,24000
milwaukee,19200
minneapolis-st. paul,23500
nashville,23400
new orleans,19000
new york,42500
ogden,21100
oklahoma city,15500
omaha,17500
orlando,20500
oxnard,56500
palm bay,16000
pensacola,15500
philadelphia,19000
phoenix,24000
pittsburgh,12500
portland,35000
port st. lucie,18800
providence,24600
provo,25000
raleigh,23800
reno,32000
richmond,20000
riverside-san bernardino,32000
rochester,12700
sacramento,35900
salt lake city,30100
san antonio,17000
san diego,53000
san francisco,75000
san jose,100000
santa rosa,60000
sarasota,22500
scranton-wilkes barre,8000
seattle,41700
springfield,19500
st. louis,15500
stockton,31200
syracuse,10600
tampa,17600
toledo,10600
tucson,17900
tulsa,15000
virginia beach,21500
washington,37500
winston-salem,13700
youngstown,7500
